source,target,int,,,,,,,
MAP3K7,KSR1,regulation,of,localization;,phosphorylation;,regulation,,,
AURKA,LATS2,phosphorylation,,,,,,,
CHEK1,LATS2,phosphorylation,,,,,,,
CHEK2,LATS2,phosphorylation,,,,,,,
PRKACA,LRRK2,phosphorylation,,,,,,,
ARAF,MAP2K1,activation;,phosphorylation;,binding,,,,,
ARAF,MAP2K1,phosphorylation,,,,,,,
ARAF,MAP2K1,phosphorylation,,,,,,,
ARAF,MAP2K1,phosphorylation,,,,,,,
BRAF,MAP2K1,activation;,phosphorylation;,binding,,,,,
BRAF,MAP2K1,phosphorylation,,,,,,,
BRAF,MAP2K1,phosphorylation,,,,,,,
BRAF,MAP2K1,phosphorylation,,,,,,,
BRAF,MAP2K1,phosphorylation,,,,,,,
CDK5,MAP2K1,phosphorylation,,,,,,,
CDK5,MAP2K1,phosphorylation,,,,,,,
KSR1,MAP2K1,activation;,inhibition;,binding,,,,,
MAP3K1,MAP2K1,activation;,phosphorylation,,,,,,
MAP3K2,MAP2K1,phosphorylation,,,,,,,
RAF1,MAP2K1,phosphorylation,,,,,,,
RAF1,MAP2K1,phosphorylation,,,,,,,
RAF1,MAP2K1,phosphorylation,,,,,,,
RAF1,MAP2K1,phosphorylation,,,,,,,
RAF1,MAP2K1,phosphorylation,,,,,,,
MAP2K3,MAP2K3,phosphorylation,,,,,,,
MAP3K20,MAP2K3,phosphorylation,,,,,,,
MAP3K20,MAP2K3,phosphorylation,,,,,,,
MAP3K20,MAP2K3,phosphorylation,,,,,,,
TAOK1,MAP2K3,phosphorylation,,,,,,,
TAOK2,MAP2K3,phosphorylation,,,,,,,
MAP3K2,MAP2K4,phosphorylation,,,,,,,
EIF2AK2,MAP2K6,phosphorylation,,,,,,,
EIF2AK2,MAP2K6,phosphorylation,,,,,,,
MAP2K6,MAP2K6,phosphorylation,,,,,,,
MAP2K6,MAP2K6,phosphorylation,,,,,,,
MAP2K6,MAP2K6,phosphorylation,,,,,,,
MAP2K6,MAP2K6,phosphorylation,,,,,,,
MAP2K6,MAP2K6,phosphorylation,,,,,,,
MAP2K6,MAP2K6,phosphorylation,,,,,,,
MAP2K6,MAP2K6,phosphorylation,,,,,,,
MAP3K20,MAP2K6,phosphorylation,,,,,,,
MAP3K20,MAP2K6,phosphorylation,,,,,,,
MAP3K20,MAP2K6,phosphorylation,,,,,,,
MAP3K20,MAP2K6,phosphorylation,,,,,,,
MAP3K20,MAP2K6,phosphorylation,,,,,,,
MAP3K4,MAP2K6,phosphorylation,,,,,,,
MAP3K7,MAP2K6,phosphorylation,,,,,,,
TAOK2,MAP2K6,phosphorylation,,,,,,,
MAP3K2,MAP2K7,phosphorylation,,,,,,,
MAP3K2,MAP2K7,activation;,binding;,phosphorylation,,,,,
GSK3B,MAP3K1,phosphorylation,,,,,,,
GSK3B,MAP3K1,phosphorylation,,,,,,,
GSK3B,MAP3K1,phosphorylation,,,,,,,
GSK3B,MAP3K4,phosphorylation,,,,,,,
GSK3B,MAP3K4,phosphorylation,,,,,,,
TAB1,MAP3K7,activation;,binding,,,,,,
AMOTL1,MAPK1,increase,of,phosphorylation,,,,,
AMOTL1,MAPK1,increase,of,phosphorylation,,,,,
AMOTL1,MAPK1,increase,of,phosphorylation,,,,,
ARAF,MAPK1,phosphorylation,,,,,,,
ARAF,MAPK1,phosphorylation,,,,,,,
BRAF,MAPK1,phosphorylation,,,,,,,
BRAF,MAPK1,phosphorylation,,,,,,,
CDC25A,MAPK1,dephosphorylation,,,,,,,
DUSP1,MAPK1,dephosphorylation,,,,,,,
HIF1A,MAPK1,activation;,increase,of,phosphorylation,,,,
JAK3,MAPK1,phosphorylation,,,,,,,
MAP2K1,MAPK1,activation;,phosphorylation;,binding,,,,,
MAP2K1,MAPK1,activation;,phosphorylation,,,,,,
MAP2K1,MAPK1,phosphorylation,,,,,,,
MAP2K1,MAPK1,phosphorylation,,,,,,,
MAP2K6,MAPK1,decrease,of,phosphorylation,,,,,
