"SUID","consensus_direction","consensus_inhibition","consensus_stimulation","interaction","is_directed","is_inhibition","is_stimulation","name","references","selected","shared interaction","shared name","source","sources","target"
"26681","1","0","1","interacts with","1","0","1","NFKB1 (interacts with) NOS2","15350552;18057724;17720813;17081374;15350552;18057724;17720813;17081374;15350552;18057724;17720813;17081374","false","interacts with","NFKB1 (interacts with) NOS2","P19838","kegg;tred_via_RegNetwork;trrust","P35228"
"26683","1","1","0","interacts with","1","1","0","TFAP4 (interacts with) MDM2","19505873;19505873;19505873","false","interacts with","TFAP4 (interacts with) MDM2","Q01664","IntAct;jaspar_v2018;trrust","Q00987"
"26684","1","0","1","interacts with","1","0","1","TP53 (interacts with) MDM2","15851483;9858609;18431400;22532570;17719542;10566557;20837136;18485870;11756653;9645455;12902982;20228809;22223137;10718212;15851483;9858609;18431400;22532570;17719542;10566557;20837136;18485870;11756653;9645455;12902982;20228809;22223137;10718212;15851483;9858609;18431400;22532570;17719542;10566557;20837136;18485870;11756653;9645455;12902982;20228809;22223137;10718212;15851483;9858609;18431400;22532570;17719542;10566557;20837136;18485870;11756653;9645455;12902982;20228809;22223137;10718212;15851483;9858609;18431400;22532570;17719542;10566557;20837136;18485870;11756653;9645455;12902982;20228809;22223137;10718212;15851483;9858609;18431400;22532570;17719542;10566557;20837136;18485870;11756653;9645455;12902982;20228809;22223137;10718212;15851483;9858609;18431400;22532570;17719542;10566557;20837136;18485870;11756653;9645455;12902982;20228809;22223137;10718212;15851483;9858609;18431400;22532570;17719542;10566557;20837136;18485870;11756653;9645455;12902982;20228809;22223137;10718212;15851483;9858609;18431400;22532570;17719542;10566557;20837136;18485870;11756653;9645455;12902982;20228809;22223137;10718212;15851483;9858609;18431400;22532570;17719542;10566557;20837136;18485870;11756653;9645455;12902982;20228809;22223137;10718212","false","interacts with","TP53 (interacts with) MDM2","P04637","HTRIdb;IntAct;PAZAR;ReMap;hocomoco_v11;kegg;reviews;tfact;tred_via_RegNetwork;trrust","Q00987"
"26685","1","1","0","interacts with","1","1","0","ETS1 (interacts with) MDM2","11424091;11424091;11424091","false","interacts with","ETS1 (interacts with) MDM2","P14921","PAZAR;tred_via_RegNetwork;trrust","Q00987"
"26686","1","0","1","interacts with","1","0","1","MYC (interacts with) APEX1","11085504;12695333;14519204;11983916;12145275;11085504;12695333;14519204;11983916;12145275;11085504;12695333;14519204;11983916;12145275;11085504;12695333;14519204;11983916;12145275","false","interacts with","MYC (interacts with) APEX1","P01106","HTRIdb;reviews;tfact;tred_via_RegNetwork","P27695"
"26687","1","1","0","interacts with","1","1","0","GATA2 (interacts with) APEX1","22951020;22951020","false","interacts with","GATA2 (interacts with) APEX1","P23769","PAZAR;oreganno","P27695"
"26688","1","1","0","interacts with","1","1","0","SP1 (interacts with) APEX1","7534297;18208837;7534297;18208837;7534297;18208837","false","interacts with","SP1 (interacts with) APEX1","P08047","fantom4;tred_via_RegNetwork;trrust","P27695"
"26689","1","1","0","interacts with","1","1","0","TP53 (interacts with) CTNNB1","11564862;19411072;11564862;19411072;11564862;19411072;11564862;19411072","false","interacts with","TP53 (interacts with) CTNNB1","P04637","PAZAR;tfact;tred_via_RegNetwork;trrust","P35222"
"26690","1","0","1","interacts with","1","0","1","TCF7L2 (interacts with) CTNNB1","24317174;14706452;24317174;14706452","false","interacts with","TCF7L2 (interacts with) CTNNB1","Q9NQB0","tfact;trrust","P35222"
"26691","1","1","0","interacts with","1","1","0","IRF3 (interacts with) PURA","21062477;21062477","false","interacts with","IRF3 (interacts with) PURA","Q14653","tfact;trrust","Q00577"
"26692","1","0","1","interacts with","1","0","1","CREB1 (interacts with) MUC4","19757157;19757157","false","interacts with","CREB1 (interacts with) MUC4","P16220","tred_via_RegNetwork;trrust","Q99102"
"26693","1","0","1","interacts with","1","0","1","ETV4 (interacts with) MUC4","15461591;15461591;15461591","false","interacts with","ETV4 (interacts with) MUC4","P43268","hocomoco_v11;tred_via_RegNetwork;trrust","Q99102"
"26694","1","0","1","interacts with","1","0","1","STAT3 (interacts with) MUC4","18573283;18573283","false","interacts with","STAT3 (interacts with) MUC4","P40763","tred_via_RegNetwork;trrust","Q99102"
"26696","1","0","1","interacts with","1","0","1","FOXA1 (interacts with) UGT2B17","20628005;20628005","false","interacts with","FOXA1 (interacts with) UGT2B17","P55317","HTRIdb;trrust","O75795"
"26697","1","0","1","interacts with","1","0","1","HNF1A (interacts with) UGT2B17","11191885;11191885","false","interacts with","HNF1A (interacts with) UGT2B17","P20823","HTRIdb;trrust","O75795"
"26699","1","0","1","interacts with","1","0","1","MYC (interacts with) CCT5","12747840;12747840;12747840;12747840","false","interacts with","MYC (interacts with) CCT5","P01106","HTRIdb;hocomoco_v11;tfact;tred_via_RegNetwork","P48643"
"26701","1","1","0","interacts with","1","1","0","CTCF (interacts with) ESRP2","22951020;22951020","false","interacts with","CTCF (interacts with) ESRP2","P49711","PAZAR;oreganno","Q9H6T0"
"26702","1","0","1","interacts with","1","0","1","MYC (interacts with) CDK6","22395148;22395148;22395148;22395148","false","interacts with","MYC (interacts with) CDK6","P01106","ReMap;kegg;tred_via_RegNetwork;trrust","Q00534"
"26703","1","1","0","interacts with","1","1","0","NR3C1 (interacts with) CDK6","9154817;9154817;9154817","false","interacts with","NR3C1 (interacts with) CDK6","P04150","ARACNe-GTEx;ReMap;trrust","Q00534"
"26704","1","1","0","interacts with","1","1","0","TCF3 (interacts with) CDK6","21788410;21788410","false","interacts with","TCF3 (interacts with) CDK6","P15923","ReMap;trrust","Q00534"
"26705","1","1","0","interacts with","1","1","0","NANOG (interacts with) CDK6","19139263;17761754;19139263;17761754;19139263;17761754","false","interacts with","NANOG (interacts with) CDK6","Q9H9S0","HTRIdb;ReMap;trrust","Q00534"
"26706","1","0","1","interacts with","1","0","1","RELA (interacts with) CDK6","18504428;18504428","false","interacts with","RELA (interacts with) CDK6","Q04206","ReMap;trrust","Q00534"
"26707","1","1","0","interacts with","1","1","0","SP1 (interacts with) CDK6","11297539;11297539","false","interacts with","SP1 (interacts with) CDK6","P08047","ReMap;trrust","Q00534"
"26709","1","1","0","interacts with","1","1","0","MYC (interacts with) GTF2H2","12747840;12747840;12747840","false","interacts with","MYC (interacts with) GTF2H2","P01106","HTRIdb;tfact;tred_via_RegNetwork","Q13888"
"26711","1","0","1","interacts with","1","0","1","MYC (interacts with) PRDX3","12011429;12011429;12011429","false","interacts with","MYC (interacts with) PRDX3","P01106","oreganno;tred_via_RegNetwork;trrust","P30048"
"26712","1","0","1","interacts with","1","0","1","RARA (interacts with) HSD17B2","18270252;18270252","false","interacts with","RARA (interacts with) HSD17B2","P10276","HTRIdb;trrust","P37059"
"26713","1","0","1","interacts with","1","0","1","RXRA (interacts with) HSD17B2","18270252;18270252","false","interacts with","RXRA (interacts with) HSD17B2","P19793","HTRIdb;trrust","P37059"
"26714","1","0","1","interacts with","1","0","1","SP1 (interacts with) HSD17B2","16807381;18270252;16807381;18270252","false","interacts with","SP1 (interacts with) HSD17B2","P08047","HTRIdb;trrust","P37059"
