name apoptosis bid caspase ceramide disc fas fasl fast gpcr gzmb iap ifngt nfkb pdgfr pi3k s1p sphk1 tpl2 tradd
attr_261 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_262 1 1 1 1 1 1 1 1 0 0 0 X 1 0 X 0 0 1 0
attr_263 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_264 1 1 1 1 1 1 1 1 0 X 0 X 1 0 X 0 0 X 0
attr_265 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_266 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_267 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_268 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_269 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_270 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_271 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_272 1 1 1 X 0 X X X 0 1 0 1 X 0 X 0 0 0 0
attr_273 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_274 X X X X X X 1 1 X 1 X 1 1 1 1 X 1 1 0
attr_275 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_276 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_277 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_278 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_279 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_280 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_281 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_282 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_283 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_285 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_286 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_287 1 1 1 X 1 1 1 1 X 0 0 1 1 1 1 X 1 1 0
attr_289 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_290 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_291 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0
attr_292 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_293 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_295 1 1 1 X X 1 1 1 X 1 0 1 1 1 1 X 1 1 0
attr_297 1 1 1 X 1 1 1 1 X 1 0 1 1 1 1 X 1 1 0
