ID	Gene symbol ID
MO000108773	CDC20,MAD2L1
MO000108775	CDC20,CDC27,MAD2L1
MO000108846	MAD2L1
MO000108927	ANAPC10
MO000108928	ANAPC10,CDC27
MO000108929	ANAPC10,CDC16
MO000109226	MAD2L1
MO000109242	CDC20,MAD2L1
MO000109695	TPX2
MO000109699	TPX2
MO000109710	FZR1,TPX2
MO000109712	FZR1
MO000109715	CDC20,FZR1
MO000109721	CDC20
MO000110004	CDC27
MO000110010	CDC16,CDC27
MO000110011	CDC27
MO000110012	CDC27
MO000110013	CDC27
MO000110322	HMGB2
MO000110536	SHC1
MO000110843	CDK2
MO000111593	PML
MO000111596	PML
MO000112025	GRB2
MO000112285	SHC1
MO000112288	GRB2
MO000113009	YWHAG
MO000113014	YWHAG
MO000113023	YWHAG
MO000113027	YWHAG
MO000113028	YWHAG
MO000113029	YWHAG
MO000113031	YWHAG
MO000113403	SHC1
MO000114173	CDC20
MO000114174	CDC20
MO000114176	BUB1
MO000114185	CDC20,MAD2L1
MO000114186	CDC20
MO000114248	SHC1
MO000114342	CDC27
MO000114344	ANAPC10,CDC16,CDC27
MO000114545	GRB2,SHC1
MO000114546	GRB2,SHC1
MO000114598	GRB2,SHC1
MO000114600	GRB2,SHC1
MO000114765	MAD2L1
MO000114772	CDC20,MAD2L1
MO000114782	CDC20,CDC27,MAD2L1
MO000114783	CDC27,FZR1
MO000114804	CDC20
MO000114815	CDC27
MO000114817	CDC27
MO000115367	PTTG1
MO000115382	SHC1
MO000115446	PTTG1
MO000115510	PTTG1
MO000115894	PRPF40A
MO000115895	PRPF40A
MO000115896	PRPF40A
MO000115998	HDAC1
MO000116001	TOP2A
MO000116005	HDAC1
MO000116142	PRPF40A
MO000116282	SHC1
MO000116283	SHC1
MO000116284	SHC1
MO000116388	GRB2
MO000116390	GRB2
MO000116404	TOP2A
MO000116405	TOP2A
MO000117327	PRKACA
MO000117349	TAF1B
MO000117355	TAF1B
MO000117602	ARID3A
MO000117610	ARID3A
MO000119137	AURKA
