ID	Ensembl ID	Average Intensity	UniProt ID	Gene symbol ID
MO000132803	ENSG00000155363	17.18975528145738	Q9HCE1	
MO000132807	ENSG00000119673	19.299399269880265	P49753	
MO000132809	ENSG00000119673	19.299399269880265	P49753	
MO000132816	ENSG00000166197	204.7415341528705	Q14978-2,Q14978-3	
MO000132817	ENSG00000166197	204.7415341528705	Q14978-2,Q14978-3	
MO000132820	ENSG00000162385	563.1486890347339	P61326	
MO000132823	ENSG00000115840	14.542470142435544	O75746	
MO000132824	ENSG00000144021	211.42555932566404	O76071	
MO000132825	ENSG00000144021	211.42555932566404	O76071	
MO000132827	ENSG00000089154	211.72678347766373	Q92616	
MO000132828	ENSG00000089154	211.72678347766373	Q92616	
MO000132829	ENSG00000135387	849.9324319922023	Q14444-2	
MO000132830	ENSG00000135387	849.9324319922023	Q14444-2	
MO000132834	ENSG00000132485	88.08907268795848	O95218-2	
MO000132835	ENSG00000132485	88.08907268795848	O95218-2	
MO000132841	ENSG00000174243	43.34312860958255	Q9BUQ8	
MO000132842	ENSG00000104812	53.35631451579415	P13807	
MO000132843	ENSG00000174243	43.34312860958255	Q9BUQ8	
MO000132848	ENSG00000164687	1539.4597277582216	Q01469	
MO000132849	ENSG00000164687	1539.4597277582216	Q01469	
MO000132852	ENSG00000198752	16.69776287838021	Q9Y5S2	
MO000132857	ENSG00000140829	3.776290407891395	Q92620	
MO000132858	ENSG00000140829	3.776290407891395	Q92620	
MO000132860	ENSG00000244038	1150.4513122799644	P39656	
MO000132861	ENSG00000244038	1150.4513122799644	P39656	
MO000132864	ENSG00000137992	15.401675805860094	P11182	
MO000132870	ENSG00000198898	1394.6624353887407	P47755	
MO000132882	ENSG00000039650	19.231930940677387	Q96T60	
MO000132884	ENSG00000184432	504.8326598417624	P35606	
MO000132885	ENSG00000184432	504.8326598417624	P35606	
MO000132887	ENSG00000176102	70.02963495808056	Q12996	
MO000132888	ENSG00000176102	70.02963495808056	Q12996	
MO000132891	ENSG00000100242	49.40647280440915	Q9UH99	
MO000132893	ENSG00000100029	101.78555506874358	O00541,O00541-2	
MO000132894	ENSG00000100029	101.78555506874358	O00541,O00541-2	
MO000132896	ENSG00000100029	101.78555506874358	O00541,O00541-2	
MO000132897	ENSG00000100353	864.6999216293701	O15371	
MO000132898	ENSG00000100353	864.6999216293701	O15371	
MO000132901	ENSG00000100075	158.04926190461128	P53007	
MO000132911	ENSG00000152684	48.251448676726895	Q9BRX2	
MO000132912	ENSG00000152684	48.251448676726895	Q9BRX2	
MO000132918	ENSG00000011478	13.69444216537175	Q9NXS2	
MO000132921	ENSG00000104835	49.83279707718471	Q9NP81	
MO000132928	ENSG00000139436	5.903320182811367	Q14161	
MO000132931	ENSG00000143155	133.80101334099515	O75663	
MO000132944	ENSG00000197448	665.0627787910546	Q9Y2Q3	
MO000132946	ENSG00000135655	34.04293972560103	Q9Y4E8,Q9Y4E8-2	
MO000132949	ENSG00000135655	34.04293972560103	Q9Y4E8,Q9Y4E8-2	
MO000132953	ENSG00000135655	34.04293972560103	Q9Y4E8,Q9Y4E8-2	
MO000132954	ENSG00000109133	508.83888192096805	P57088	
MO000132955	ENSG00000109133	508.83888192096805	P57088	
MO000132956	ENSG00000163636	778.5590955319569	Q15008	
MO000132957	ENSG00000163636	778.5590955319569	Q15008	
MO000132966	ENSG00000137824	11.564557884844575	Q96TC7	
MO000132973	ENSG00000078668	1059.0006030160332	Q9Y277	
MO000132980	ENSG00000125944	1760.0871767347526	O43390,O43390-2	
MO000132981	ENSG00000078668	1059.0006030160332	Q9Y277	
MO000132982	ENSG00000125944	1760.0871767347526	O43390,O43390-2	
MO000132992	ENSG00000119953	224.72212156979873	O75940	
MO000132997	ENSG00000204220	1279.5209373667876	O15212	
MO000132998	ENSG00000204220	1279.5209373667876	O15212	
MO000133007	ENSG00000146223	224.42493329956363	Q6DKI1	
MO000133012	ENSG00000154582	3107.273060182379	Q15369	
MO000133025	ENSG00000113460	302.14090783427525	Q8TDN6	
MO000133026	ENSG00000113460	302.14090783427525	Q8TDN6	
MO000133029	ENSG00000119408	94.34806221702698	Q9HC98	
MO000133033	ENSG00000174917	43.940410938052395	Q5XKP0	
MO000133034	ENSG00000169180	3.7249592831718226	Q96QU8	
MO000133040	ENSG00000092094	160.40954522584718	Q9NPF4	
MO000133042	ENSG00000115541	14881.991821663876	P61604	
MO000133045	ENSG00000124228	79.07749006523677	Q96GQ7	
