ID	Ensembl ID	UniProt ID	Average Intensity
MO000126116	ENSG00000148337	Q9ULV3-5	3.15386835035559
MO000126117	ENSG00000148337	Q9ULV3-5	3.15386835035559
MO000126292	ENSG00000196586	Q9UM54-6	83.82533470599355
MO000126293	ENSG00000196586	Q9UM54-6	83.82533470599355
MO000126304	ENSG00000151929	O95817	289.65490834799346
MO000126305	ENSG00000151929	O95817	289.65490834799346
MO000126451	ENSG00000026508	P16070-4	3747.004446580857
MO000126454	ENSG00000026508	P16070-4	3747.004446580857
MO000126488	ENSG00000273559	Q9NXE8	0.7677059584840611
MO000126495	ENSG00000042493	P40121	2170.0588141034696
MO000126559	ENSG00000091409	P23229-2	416.7450870706215
MO000126608	ENSG00000142871	O00622	5366.3035748838665
MO000126609	ENSG00000142871	O00622	5366.3035748838665
MO000126623	ENSG00000151694	P78536	3.2319437378131095
MO000126637	ENSG00000078618	O43847	97.55922853341787
MO000126638	ENSG00000078618	O43847	97.55922853341787
MO000126641	ENSG00000078618	O43847	97.55922853341787
MO000126670	ENSG00000114450	Q9HAV0	503.1745191148618
MO000126693	ENSG00000135148	O14545	5.03783085680619
MO000126695	ENSG00000135148	O14545	5.03783085680619
MO000126850	ENSG00000100567	P25788-2	1302.7354389757734
MO000126851	ENSG00000100567	P25788-2	1302.7354389757734
MO000126930	ENSG00000143553	O95295	45.720547512569865
MO000126931	ENSG00000143553	O95295	45.720547512569865
MO000126951	ENSG00000084234	Q06481	129.10176229672507
MO000126967	ENSG00000171940	O75362	1.8666883803550776
MO000127004	ENSG00000197747	P60903	28914.148727716878
MO000127005	ENSG00000197747	P60903	28914.148727716878
MO000127055	ENSG00000146242	Q13641	39.898633782510274
MO000127056	ENSG00000146242	Q13641	39.898633782510274
MO000127094	ENSG00000110841	Q86W92-2,Q86W92-4	7.59285972780296
MO000127198	ENSG00000054267	Q4LE39-3	0.49575836100593806
MO000127202	ENSG00000054267	Q4LE39-3	0.49575836100593806
MO000127203	ENSG00000054267	Q4LE39-3	0.49575836100593806
MO000127275	ENSG00000258947	Q13509	98787.30024615745
MO000127277	ENSG00000258947	Q13509	98787.30024615745
MO000127686	ENSG00000136448	P30419	368.68878424333127
MO000127687	ENSG00000136448	P30419	368.68878424333127
MO000127689	ENSG00000136448	P30419	368.68878424333127
MO000127693	ENSG00000175130	P49006	81.71869005392742
MO000127694	ENSG00000175130	P49006	81.71869005392742
MO000127724	ENSG00000108465	Q96JB5	10.594929763061021
MO000127725	ENSG00000108465	Q96JB5	10.594929763061021
MO000127726	ENSG00000108465	Q96JB5	10.594929763061021
MO000127740	ENSG00000113810	Q9NTJ3	176.2010073488622
MO000127741	ENSG00000113810	Q9NTJ3	176.2010073488622
MO000127749	ENSG00000136824	O95347	148.926087081209
MO000127750	ENSG00000136824	O95347	148.926087081209
MO000127872	ENSG00000173402	Q14118	71.47547419399918
MO000127873	ENSG00000173402	Q14118	71.47547419399918
MO000127887	ENSG00000145996	Q5VV42	23.16627573386108
MO000127891	ENSG00000145996	Q5VV42	23.16627573386108
MO000127960	ENSG00000147536	Q9BRT9	4.863253936834278
MO000127962	ENSG00000147536	Q9BRT9	4.863253936834278
MO000127970	ENSG00000181938	Q9BRX5	19.645359518949103
MO000127971	ENSG00000181938	Q9BRX5	19.645359518949103
MO000127977	ENSG00000131153	Q9Y248	20.884315572730088
MO000127978	ENSG00000131153	Q9Y248	20.884315572730088
MO000128126	ENSG00000115310	Q9NQC3,Q9NQC3-5	1972.3978905656188
MO000128127	ENSG00000115310	Q9NQC3,Q9NQC3-5	1972.3978905656188
MO000128128	ENSG00000115310	Q9NQC3,Q9NQC3-5	1972.3978905656188
MO000128174	ENSG00000136542	Q7Z7M9	3.7442895578632482
MO000128175	ENSG00000136542	Q7Z7M9	3.7442895578632482
MO000128217	ENSG00000163453	Q16270	374.3802841080103
MO000128218	ENSG00000163453	Q16270	374.3802841080103
MO000128243	ENSG00000166741	P40261	439.56987495814343
MO000128248	ENSG00000185104	Q9UNN5	76.65127573859763
MO000128249	ENSG00000185104	Q9UNN5	76.65127573859763
MO000128352	ENSG00000068078	P22607-3	4.81124022295364
MO000128353	ENSG00000068078	P22607-3	4.81124022295364
MO000128365	ENSG00000131981	P17931	3186.0669780939597
MO000128366	ENSG00000131981	P17931	3186.0669780939597
MO000128400	ENSG00000162735	P40855	83.1628440107408
MO000128526	ENSG00000070010	Q92890	251.50240442954777
MO000128527	ENSG00000070010	Q92890	251.50240442954777
MO000128530	ENSG00000070010	Q92890	251.50240442954777
MO000128551	ENSG00000023516	Q9UKA4	0.7450130862065458
MO000128552	ENSG00000023516	Q9UKA4	0.7450130862065458
MO000128704	ENSG00000188243	Q7Z4G1	53.53973605343881
MO000128706	ENSG00000188243	Q7Z4G1	53.53973605343881
MO000128710	ENSG00000110442	Q9P000	30.574083842666244
MO000128722	ENSG00000197111	Q15366,Q15366-2,Q15366-3,Q15366-5	8995.074657852269
MO000128748	ENSG00000108094	Q13617	74.37042375962744
MO000128878	ENSG00000187134	Q04828	163.17766177388552
MO000128882	ENSG00000151632	P52895	67.07255841704429
MO000128959	ENSG00000168172	Q86VS8	10.295645197363111
MO000128999	ENSG00000096696	P15924	91.43303174393165
MO000129027	ENSG00000129245	P51116	206.44305373267073
MO000129045	ENSG00000119396	P61106	1740.1707491772115
MO000129046	ENSG00000119396	P61106	1740.1707491772115
MO000129064	ENSG00000088256	P29992	334.10246692546536
MO000129111	ENSG00000196961	O95782-2	466.6827921881271
MO000129128	ENSG00000117906	Q14257	93.25122946361351
MO000129129	ENSG00000117906	Q14257	93.25122946361351
MO000129206	ENSG00000148730	Q13542	55.24929025298773
MO000129214	ENSG00000125144	P13640,P13640-2	15685.49899511394
MO000129218	ENSG00000125148	P02795	15879.132612936623
MO000129219	ENSG00000125148	P02795	15879.132612936623
MO000129366	ENSG00000182446	Q8TAT6	349.9746858196062
MO000129367	ENSG00000182446	Q8TAT6	349.9746858196062
MO000129389	ENSG00000088833	Q9UNZ2,Q9UNZ2-4,Q9UNZ2-5	670.233888018806
MO000129392	ENSG00000088833	Q9UNZ2,Q9UNZ2-4,Q9UNZ2-5	670.233888018806
MO000129401	ENSG00000088833	Q9UNZ2,Q9UNZ2-4,Q9UNZ2-5	670.233888018806
MO000129578	ENSG00000142192	P05067	46.849521504288965
MO000129629	ENSG00000143537	Q13444-10,Q13444-3	6.028170929249832
MO000129668	ENSG00000151651	P78325	41.86383688420128
MO000129733	ENSG00000112655	Q13308	22.546308506469188
MO000129737	ENSG00000112655	Q13308	22.546308506469188
MO000129743	ENSG00000272325	O95989	131.20828032139553
MO000129744	ENSG00000055483	Q9P275	0.6741270958000486
MO000129746	ENSG00000055483	Q9P275	0.6741270958000486
MO000129793	ENSG00000129084	P25786	3207.9087895881867
MO000129797	ENSG00000129084	P25786	3207.9087895881867
MO000129803	ENSG00000140795	Q32MK0-4	29.94087512767885
MO000129813	ENSG00000152256	Q15118	6.909741568261175
MO000129849	ENSG00000095564	O14981	10.41082242478834
MO000129850	ENSG00000095564	O14981	10.41082242478834
MO000129904	ENSG00000257365	P49356	18.91323318964289
MO000129923	ENSG00000277443	P29966	887.0786667725249
MO000129971	ENSG00000205362	P04731	1865.0303231432326
MO000129998	ENSG00000042753	P53680	161.5118933072467
MO000130005	ENSG00000171861	Q9HC36	10.595624034942311
MO000130009	ENSG00000006125	P63010	826.1804635195991
MO000130116	ENSG00000033627	Q93050-1,Q93050-3	6.578526746143096
MO000130117	ENSG00000033627	Q93050-1,Q93050-3	6.578526746143096
MO000130138	ENSG00000087842	O00625	12.801973275665445
MO000130139	ENSG00000087842	O00625	12.801973275665445
MO000130178	ENSG00000067955	Q13951-2	80.70121540427499
MO000130269	ENSG00000078061	P10398	18.346819428833804
MO000130330	ENSG00000113068	O60925	579.8090304083298
MO000130347	ENSG00000138757	Q9UN86,Q9UN86-2	604.3842325077114
MO000130390	ENSG00000142186	Q96KG9-2	107.69121651964625
MO000130396	ENSG00000142186	Q96KG9-2	107.69121651964625
MO000130427	ENSG00000184357	P16401	353.3154716081612
MO000130428	ENSG00000184357	P16401	353.3154716081612
MO000130434	ENSG00000146247	Q8WWQ0	3.48031115557621
MO000130452	ENSG00000115540	Q9Y3A3	62.84267375320154
MO000130453	ENSG00000115540	Q9Y3A3	62.84267375320154
MO000130501	ENSG00000161057	P35998	1924.454959588378
MO000130512	ENSG00000115977	Q2M2I8	52.14832884770633
MO000130582	ENSG00000011405	O00443	1.7286481425207034
MO000130594	ENSG00000140416	P09493-3,P09493-4	1697.9011999479208
MO000130679	ENSG00000113657	Q14195,Q14195-2	290.09363288793077
MO000130680	ENSG00000113657	Q14195,Q14195-2	290.09363288793077
MO000130705	ENSG00000137337	Q14676	24.827308739451798
MO000130706	ENSG00000137337	Q14676	24.827308739451798
MO000130760	ENSG00000092964	Q16555	2889.837856914962
MO000130761	ENSG00000092964	Q16555	2889.837856914962
MO000130775	ENSG00000137166	Q8IVH2-2	29.97397919530843
MO000130828	ENSG00000160447	Q6P5Z2	9.278221971816965
MO000130868	ENSG00000213246	P63272	135.9773629576088
MO000130871	ENSG00000196235	O00267	69.40253686435683
MO000130920	ENSG00000141568	Q01167	4.327768347823164
MO000130927	ENSG00000166747	O43747	79.25337190551977
MO000130933	ENSG00000213983	O75843	6.4990909447063565
MO000131031	ENSG00000185022	Q9ULX9	11.7772474677834
MO000131204	ENSG00000070495	Q6NYC1	26.95850072169316
MO000131206	ENSG00000070495	Q6NYC1	26.95850072169316
MO000131361	ENSG00000164022	Q12904	740.090130316363
MO000131389	ENSG00000095139	P48444	1347.1144182458384
MO000131400	ENSG00000113643	P54136	863.6504670926308
MO000131465	ENSG00000136628	P07814	705.3210099129451
MO000131473	ENSG00000077150	Q00653,Q00653-4	21.958348474858134
MO000131489	ENSG00000074695	P49257	575.7762935797475
MO000131490	ENSG00000074695	P49257	575.7762935797475
MO000131528	ENSG00000180398	Q8NI22,Q8NI22-3	699.0146462127714
MO000131548	ENSG00000101160	Q9UBR2	740.0668945663963
MO000131708	ENSG00000143155	O75663	133.80101334099515
MO000131732	ENSG00000136068	O75369-2,O75369-8	7820.104354674902
MO000131734	ENSG00000136068	O75369-2,O75369-8	7820.104354674902
MO000131735	ENSG00000136068	O75369-2,O75369-8	7820.104354674902
MO000131741	ENSG00000162458	Q8WUP2	5.0726848282265244
MO000131742	ENSG00000162458	Q8WUP2	5.0726848282265244
MO000131743	ENSG00000162458	Q8WUP2	5.0726848282265244
MO000131744	ENSG00000162458	Q8WUP2	5.0726848282265244
MO000131756	ENSG00000143418	Q96G23	469.3147453923624
MO000131757	ENSG00000143418	Q96G23	469.3147453923624
MO000131817	ENSG00000073712	Q96AC1	81.6396874729922
MO000131824	ENSG00000073712	Q96AC1	81.6396874729922
MO000131826	ENSG00000073712	Q96AC1	81.6396874729922
MO000131845	ENSG00000128591	Q14315	2312.1609685156855
MO000131846	ENSG00000128591	Q14315	2312.1609685156855
MO000131847	ENSG00000128591	Q14315	2312.1609685156855
MO000131880	ENSG00000143753	O15121	140.29032899706596
MO000131903	ENSG00000172270	P35613-2	1891.3649875705958
MO000131905	ENSG00000172270	P35613-2	1891.3649875705958
MO000131908	ENSG00000172270	P35613-2	1891.3649875705958
MO000131945	ENSG00000167468	P36969-2	46.62115021986645
MO000131946	ENSG00000167468	P36969-2	46.62115021986645
MO000131960	ENSG00000001630	Q16850	24.683001989966016
MO000131961	ENSG00000001630	Q16850	24.683001989966016
MO000131975	ENSG00000119844	Q6ULP2-5	0.5219858347964255
MO000131983	ENSG00000189143	O14493	219.23785748468754
MO000131984	ENSG00000189143	O14493	219.23785748468754
MO000132019	ENSG00000160360	Q86YR5-4	0.29856225748293
MO000132021	ENSG00000160360	Q86YR5-4	0.29856225748293
