ID	UniProt ID	Average Intensity
ENSG00000143093	Q5VSL9	3.811656080959419
ENSG00000143228	Q9BZD4	31.885441250205623
ENSG00000143369	Q16610	12.062120117058958
ENSG00000143416	Q13228	16.703475038673595
ENSG00000143819	P07099	322.44438925784937
ENSG00000143889	Q8WVV9-2,Q8WVV9-4	150.97568142442745
ENSG00000144036	Q9Y2D4	14.324473810866827
ENSG00000144199	Q6P2I3	33.061682975672426
ENSG00000144357	Q6ZT12	0.28110046113144727
ENSG00000144535	Q8IYB7	5.17941885651554
ENSG00000144712	O75155	22.25896778849603
ENSG00000144824	Q86SQ0	12.517403985667539
ENSG00000145388	Q9HCE5	7.906473733449816
ENSG00000145391	Q8WTS6	64.51513179331832
ENSG00000145882	Q8NBM8	10.164499586168937
ENSG00000145907	Q13283	4017.1446371871757
ENSG00000145912	Q9NX24	221.14201201904154
ENSG00000145945	Q9Y247	86.6241838295979
ENSG00000146143	P49643	21.065738442459043
ENSG00000146540	Q9BRJ6	128.10033158939063
ENSG00000146842	Q96SK2-2	10.930422410083906
ENSG00000146963	Q9Y383	816.0120595948376
