ID	UniProt ID	average_intensity
ENSG00000072042	Q8TC12	157.0
ENSG00000072062	P17612	64.5
ENSG00000072110	P12814,P12814-2	6240.0
ENSG00000072163	Q7Z4I7-3	63.1
ENSG00000072210	P51648	950.0
ENSG00000072274	P02786	344.0
ENSG00000072364	Q9UHB7	1.75
ENSG00000072401	P51668	442.0
ENSG00000072415	Q8N3R9	2.25
ENSG00000072501	Q14683	108.0
ENSG00000072506	Q99714	2440.0
ENSG00000072518	Q7KZI7-8	46.2
ENSG00000072571	O75330-2	37.2
ENSG00000072682	O15460,O15460-2	301.0
ENSG00000072756	Q96Q11	34.0
ENSG00000072786	O94804	38.7
ENSG00000072803	Q9UKB1-2	7.33
ENSG00000072832	Q14194	452.0
ENSG00000072849	Q9GZP9	450.0
ENSG00000072864	Q9NXR1,Q9NXR1-2	22.9
ENSG00000073008	P15151-3	2.76
ENSG00000073050	P18887	54.7
ENSG00000073111	P49736	237.0
ENSG00000073282	Q9H3D4-10,Q9H3D4-12	0.896
ENSG00000073350	Q6P1M3-2	80.4
ENSG00000073536	Q9NVX2	41.5
ENSG00000073578	P31040	1370.0
ENSG00000073584	Q969G3	97.8
ENSG00000073712	Q96AC1	168.0
ENSG00000073792	Q9Y6M1-1	2.8
ENSG00000073921	Q13492-2	191.0
ENSG00000074071	P82930	247.0
ENSG00000074201	P54105	572.0
ENSG00000074266	O75530-3	3.36
ENSG00000074319	Q99816	125.0
ENSG00000074356	Q53F19	6.01
ENSG00000074370	Q93084-2,Q93084-4	343.0
ENSG00000074582	Q9Y276	12.1
ENSG00000074695	P49257	832.0
ENSG00000074696	Q9P035	261.0
ENSG00000074755	O43149	9.86
ENSG00000074842	Q969H8	1690.0
ENSG00000074964	Q9HCE6-3	8.47
ENSG00000075089	Q9GZN1	17.9
ENSG00000075151	O43432	81.3
ENSG00000075188	Q8NFH4	164.0
ENSG00000075218	Q9NYZ3	18.1
ENSG00000075223	Q99985	40.9
ENSG00000075234	Q5R3I4	179.0
ENSG00000075239	P24752	2130.0
ENSG00000075292	Q14966	8.84
ENSG00000075303	Q8TBP6	11.6
ENSG00000075413	P27448-3	23.9
ENSG00000075415	Q00325-2	2320.0
