Initial_state Attr label label2
is_035009 284 Leukemia2 Leukemia2_21
is_035020 195 Apoptosis Apoptosis_473
is_035062 195 Apoptosis Apoptosis_474
is_035073 195 Apoptosis Apoptosis_475
is_035133 195 Apoptosis Apoptosis_476
is_035135 195 Apoptosis Apoptosis_477
is_035246 195 Apoptosis Apoptosis_478
is_035255 195 Apoptosis Apoptosis_479
is_035272 195 Apoptosis Apoptosis_480
is_035440 195 Apoptosis Apoptosis_481
is_035443 195 Apoptosis Apoptosis_482
is_035445 195 Apoptosis Apoptosis_483
is_035466 195 Apoptosis Apoptosis_484
is_035489 195 Apoptosis Apoptosis_485
is_035542 284 Leukemia2 Leukemia2_22
is_035562 195 Apoptosis Apoptosis_486
is_035770 195 Apoptosis Apoptosis_487
is_035872 195 Apoptosis Apoptosis_488
is_035883 195 Apoptosis Apoptosis_489
is_036086 195 Apoptosis Apoptosis_490
is_036088 195 Apoptosis Apoptosis_491
is_036254 195 Apoptosis Apoptosis_492
is_036272 195 Apoptosis Apoptosis_493
is_036560 195 Apoptosis Apoptosis_494
is_036706 195 Apoptosis Apoptosis_495
is_036790 195 Apoptosis Apoptosis_496
is_036870 195 Apoptosis Apoptosis_497
is_036923 195 Apoptosis Apoptosis_498
is_036980 195 Apoptosis Apoptosis_499
is_037027 195 Apoptosis Apoptosis_500
is_037045 195 Apoptosis Apoptosis_501
is_037089 195 Apoptosis Apoptosis_502
is_037092 284 Leukemia2 Leukemia2_23
is_037122 195 Apoptosis Apoptosis_503
is_037160 195 Apoptosis Apoptosis_504
is_037171 195 Apoptosis Apoptosis_505
is_037186 195 Apoptosis Apoptosis_506
is_037372 195 Apoptosis Apoptosis_507
is_037396 195 Apoptosis Apoptosis_508
is_037429 195 Apoptosis Apoptosis_509
is_037610 195 Apoptosis Apoptosis_510
is_037684 195 Apoptosis Apoptosis_511
is_037710 195 Apoptosis Apoptosis_512
is_037742 195 Apoptosis Apoptosis_513
is_037817 195 Apoptosis Apoptosis_514
is_037842 195 Apoptosis Apoptosis_515
is_037978 195 Apoptosis Apoptosis_516
is_038034 195 Apoptosis Apoptosis_517
is_038202 195 Apoptosis Apoptosis_518
is_038272 195 Apoptosis Apoptosis_519
is_038405 195 Apoptosis Apoptosis_520
is_038450 195 Apoptosis Apoptosis_521
is_038554 195 Apoptosis Apoptosis_522
is_038751 195 Apoptosis Apoptosis_523
is_038799 284 Leukemia2 Leukemia2_24
is_038900 195 Apoptosis Apoptosis_524
is_038934 195 Apoptosis Apoptosis_525
is_039103 195 Apoptosis Apoptosis_526
is_039224 195 Apoptosis Apoptosis_527
is_039348 195 Apoptosis Apoptosis_528
