attr	F_hierarchical_10	F_km_2	F_km_3
attractor948	2	2	2
attractor949	2	2	2
attractor950	2	2	2
attractor951	3	2	2
attractor952	1	1	1
attractor953	2	2	3
attractor954	1	1	1
attractor955	2	2	3
attractor956	1	1	1
attractor957	1	1	1
attractor958	2	2	2
attractor959	2	2	2
attractor960	2	2	2
attractor961	2	2	3
attractor962	2	2	3
attractor963	2	2	3
attractor964	1	1	1
attractor965	1	1	1
attractor966	2	2	2
attractor967	2	2	2
attractor968	2	2	3
attractor969	2	2	3
attractor970	2	2	3
attractor971	2	2	3
attractor972	1	1	1
attractor973	2	2	2
attractor974	2	2	3
attractor975	2	2	3
attractor976	1	1	1
attractor977	2	2	3
attractor978	2	2	3
attractor979	2	2	2
attractor980	2	2	2
attractor981	2	2	3
attractor982	2	2	3
attractor983	1	1	1
attractor984	2	2	3
attractor985	2	2	3
attractor986	2	1	1
attractor987	2	2	3
attractor988	1	1	1
attractor989	1	1	1
attractor990	2	2	3
attractor991	2	2	2
attractor992	2	2	2
attractor993	2	2	3
attractor994	1	1	1
attractor995	2	2	3
attractor996	1	2	3
attractor997	2	2	3
attractor998	2	2	2
attractor999	2	2	3
attractor1000	2	2	3
