attr	D_hierarchical_3	D_hierarchical_4	D_km_2	D_km_3
attractor522	2	2	1	3
attractor523	1	1	1	3
attractor524	2	3	2	2
attractor525	2	2	2	1
attractor526	2	2	2	1
attractor527	2	2	2	1
attractor528	2	2	2	1
attractor529	2	2	2	2
attractor530	2	2	2	1
attractor531	2	3	2	1
attractor532	1	1	1	3
attractor533	2	2	2	2
attractor534	1	1	1	3
attractor535	1	1	1	3
attractor536	2	2	2	2
attractor537	3	4	2	1
attractor538	2	2	2	1
attractor539	2	2	2	1
attractor540	2	2	2	1
attractor541	2	2	2	1
attractor542	2	2	2	1
attractor543	2	2	2	1
attractor544	2	2	2	1
attractor545	2	3	2	1
attractor546	1	1	1	3
attractor547	2	2	2	2
attractor548	2	2	2	1
attractor549	1	1	1	3
attractor550	1	1	1	3
attractor551	2	2	2	1
attractor552	2	2	2	1
attractor553	2	2	2	2
attractor554	2	2	2	1
attractor555	1	1	1	3
attractor556	2	2	2	2
attractor557	2	2	2	2
attractor558	3	4	1	3
attractor559	2	2	2	2
attractor560	2	2	2	1
attractor561	2	2	2	2
attractor562	2	2	2	2
attractor563	2	2	2	1
attractor564	2	2	2	1
attractor565	2	2	2	2
attractor566	2	2	2	1
attractor567	2	2	2	1
attractor568	2	2	2	2
attractor569	2	2	2	1
attractor570	2	2	2	2
attractor571	2	3	2	1
attractor572	2	2	2	2
attractor573	2	2	2	1
attractor574	2	2	2	1
attractor575	1	1	1	3
attractor576	2	3	2	2
attractor577	2	2	2	1
attractor578	1	1	1	3
attractor579	2	2	2	1
attractor580	2	2	2	2
attractor581	2	2	2	2
attractor582	2	2	2	1
attractor583	2	2	2	2
attractor584	2	2	2	1
attractor585	1	1	1	3
attractor586	1	1	1	3
attractor587	2	2	2	1
attractor588	2	2	2	1
attractor589	1	1	1	3
attractor590	2	2	2	2
attractor591	2	2	2	1
attractor592	2	2	2	1
attractor593	2	2	2	1
attractor594	1	1	1	3
attractor595	1	1	1	3
attractor596	1	1	1	3
attractor597	2	2	2	1
attractor598	2	2	2	1
attractor599	2	2	2	2
attractor600	2	2	2	1
attractor601	2	2	2	1
attractor602	2	2	2	1
attractor603	2	2	2	1
attractor604	2	2	2	2
attractor605	2	2	2	1
attractor606	1	1	1	3
attractor607	1	1	1	3
attractor608	2	2	2	1
attractor609	2	2	2	1
attractor610	2	2	2	1
attractor611	2	2	2	1
attractor612	2	2	2	1
attractor613	2	2	2	2
attractor614	2	2	2	1
attractor615	2	2	2	1
attractor616	2	2	2	1
attractor617	2	2	2	2
attractor618	2	2	2	1
attractor619	2	2	2	1
attractor620	2	2	2	1
attractor621	2	2	2	1
attractor622	1	1	1	3
attractor623	2	2	2	2
attractor624	2	2	2	1
attractor625	1	1	1	3
attractor626	2	3	2	1
attractor627	1	1	1	3
attractor628	2	2	2	2
attractor629	2	2	1	3
attractor630	2	2	2	1
attractor631	1	1	1	3
attractor632	2	2	2	2
attractor633	2	2	2	2
attractor634	2	2	2	1
attractor635	1	1	1	3
attractor636	2	2	2	1
attractor637	2	3	2	1
attractor638	2	2	2	1
attractor639	2	2	2	1
attractor640	2	2	2	1
attractor641	2	2	2	1
attractor642	2	2	2	1
attractor643	2	2	2	1
attractor644	2	2	2	1
attractor645	2	3	2	1
attractor646	2	2	2	2
attractor647	2	2	2	1
attractor648	2	2	2	1
attractor649	2	2	2	2
attractor650	2	2	2	1
attractor651	2	2	2	2
attractor652	1	1	1	3
attractor653	1	1	1	3
attractor654	2	2	2	1
attractor655	2	2	2	2
attractor656	2	2	2	2
attractor657	2	2	2	1
attractor658	1	1	1	3
attractor659	2	2	2	1
attractor660	2	2	2	1
attractor661	2	2	1	3
attractor662	2	2	2	1
attractor663	2	2	2	2
attractor664	2	3	2	2
attractor665	2	2	2	1
attractor666	2	2	2	1
attractor667	1	1	1	3
attractor668	2	2	2	2
attractor669	2	3	2	1
attractor670	1	1	1	3
attractor671	1	1	1	3
attractor672	2	2	2	1
attractor673	1	1	1	3
attractor674	2	2	2	2
attractor675	2	2	2	1
attractor676	2	2	2	1
attractor677	1	1	1	3
attractor678	2	2	2	1
attractor679	3	4	1	3
attractor680	1	1	1	3
attractor681	2	2	2	1
attractor682	1	1	1	3
attractor683	1	1	1	3
attractor684	2	2	2	2
attractor685	2	2	2	1
attractor686	1	1	1	3
attractor687	2	2	2	1
attractor688	2	2	2	2
attractor689	2	2	2	1
attractor690	2	2	2	1
attractor691	2	2	2	2
attractor692	1	1	1	3
attractor693	1	1	1	3
attractor694	2	2	2	1
attractor695	2	2	2	1
attractor696	2	2	2	2
attractor697	2	2	2	1
attractor698	2	2	2	1
attractor699	2	2	2	1
attractor700	2	2	2	2
