"SUID","interaction","name","selected","shared interaction","shared name","Strength"
"37828","pos_interaction","HMGA2_interaction_SNRNP70","false","pos_interaction","HMGA2_interaction_SNRNP70","0.9679812788746829"
"37829","pos_interaction","HMGA2_interaction_TAF1B","false","pos_interaction","HMGA2_interaction_TAF1B","0.9677856073890277"
"37830","pos_interaction","HMGA2_interaction_CDC20","false","pos_interaction","HMGA2_interaction_CDC20","0.99992542408963"
"37831","neg_interaction","HMGA2_interaction_LRP1","false","neg_interaction","HMGA2_interaction_LRP1","-0.9979245568959001"
"37832","pos_interaction","HMGA2_interaction_SNRPD2","false","pos_interaction","HMGA2_interaction_SNRPD2","0.9792692561936533"
"37833","pos_interaction","HMGA2_interaction_CDC16","false","pos_interaction","HMGA2_interaction_CDC16","0.9786479433480736"
"37834","pos_interaction","HMGA2_interaction_TOP2A","false","pos_interaction","HMGA2_interaction_TOP2A","0.9963918219424143"
"37836","neg_interaction","TGFA_interaction_MOCOS","false","neg_interaction","TGFA_interaction_MOCOS","-0.9743407464038993"
"37837","pos_interaction","TGFA_interaction_AURKA","false","pos_interaction","TGFA_interaction_AURKA","0.957400355468241"
"37838","pos_interaction","TGFA_interaction_SRPK1","false","pos_interaction","TGFA_interaction_SRPK1","0.9558984036194472"
"37839","pos_interaction","TGFA_interaction_TAF1B","false","pos_interaction","TGFA_interaction_TAF1B","0.9727640637646255"
"37841","pos_interaction","HMGB2_interaction_CDC27","false","pos_interaction","HMGB2_interaction_CDC27","0.9809272843712031"
"37842","neg_interaction","HMGB2_interaction_MOCOS","false","neg_interaction","HMGB2_interaction_MOCOS","-0.9881067175922633"
"37843","pos_interaction","HMGB2_interaction_NDC80","false","pos_interaction","HMGB2_interaction_NDC80","0.9962004158062056"
"37844","pos_interaction","HMGB2_interaction_AURKA","false","pos_interaction","HMGB2_interaction_AURKA","0.9984034939171909"
"37845","pos_interaction","HMGB2_interaction_TPX2","false","pos_interaction","HMGB2_interaction_TPX2","0.9998618489798008"
"37846","pos_interaction","HMGB2_interaction_SRPK1","false","pos_interaction","HMGB2_interaction_SRPK1","0.9912838062497312"
"37847","pos_interaction","HMGB2_interaction_SNRNP70","false","pos_interaction","HMGB2_interaction_SNRNP70","0.9682474277062706"
"37848","pos_interaction","HMGB2_interaction_FZR1","false","pos_interaction","HMGB2_interaction_FZR1","0.9593371251532555"
"37849","pos_interaction","HMGB2_interaction_TAF1B","false","pos_interaction","HMGB2_interaction_TAF1B","0.9820825601353448"
"37850","pos_interaction","HMGB2_interaction_CDC20","false","pos_interaction","HMGB2_interaction_CDC20","0.998294130782188"
"37851","neg_interaction","HMGB2_interaction_LRP1","false","neg_interaction","HMGB2_interaction_LRP1","-0.9998504649775735"
"37852","pos_interaction","HMGB2_interaction_SNRPD2","false","pos_interaction","HMGB2_interaction_SNRPD2","0.9851851701941133"
"37853","pos_interaction","HMGB2_interaction_CDC16","false","pos_interaction","HMGB2_interaction_CDC16","0.9755389773534465"
"37854","pos_interaction","HMGB2_interaction_TOP2A","false","pos_interaction","HMGB2_interaction_TOP2A","0.9993176529406631"
"37855","pos_interaction","HMGB2_interaction_HMGA2","false","pos_interaction","HMGB2_interaction_HMGA2","0.9975166089003605"
"37857","pos_interaction","MAD2L1_interaction_CDC27","false","pos_interaction","MAD2L1_interaction_CDC27","0.9937790526535455"
"37858","neg_interaction","MAD2L1_interaction_MOCOS","false","neg_interaction","MAD2L1_interaction_MOCOS","-0.9856638575799829"
"37859","pos_interaction","MAD2L1_interaction_NDC80","false","pos_interaction","MAD2L1_interaction_NDC80","0.9902840021870902"
"37860","pos_interaction","MAD2L1_interaction_AURKA","false","pos_interaction","MAD2L1_interaction_AURKA","0.9922504249384874"
"37861","pos_interaction","MAD2L1_interaction_TPX2","false","pos_interaction","MAD2L1_interaction_TPX2","0.9936474232052624"
"37862","pos_interaction","MAD2L1_interaction_SRPK1","false","pos_interaction","MAD2L1_interaction_SRPK1","0.9948132943083055"
"37863","pos_interaction","MAD2L1_interaction_FZR1","false","pos_interaction","MAD2L1_interaction_FZR1","0.9819190743560238"
"37864","pos_interaction","MAD2L1_interaction_TAF1B","false","pos_interaction","MAD2L1_interaction_TAF1B","0.9840419677211242"
"37865","pos_interaction","MAD2L1_interaction_CDC20","false","pos_interaction","MAD2L1_interaction_CDC20","0.9908412850754299"
"37866","neg_interaction","MAD2L1_interaction_LRP1","false","neg_interaction","MAD2L1_interaction_LRP1","-0.9941884759660156"
"37867","pos_interaction","MAD2L1_interaction_SNRPD2","false","pos_interaction","MAD2L1_interaction_SNRPD2","0.9976008492823671"
"37868","pos_interaction","MAD2L1_interaction_TOP2A","false","pos_interaction","MAD2L1_interaction_TOP2A","0.9961596842003628"
"37869","neg_interaction","MAD2L1_interaction_SKIL","false","neg_interaction","MAD2L1_interaction_SKIL","-0.9585052224142845"
"37870","pos_interaction","MAD2L1_interaction_HMGA2","false","pos_interaction","MAD2L1_interaction_HMGA2","0.9903474066305787"
"37871","pos_interaction","MAD2L1_interaction_HMGB2","false","pos_interaction","MAD2L1_interaction_HMGB2","0.9924005691714738"
"37873","pos_interaction","ANAPC10_interaction_SNRNP70","false","pos_interaction","ANAPC10_interaction_SNRNP70","0.9553830092509232"
"37875","pos_interaction","PTTG1_interaction_CDC27","false","pos_interaction","PTTG1_interaction_CDC27","0.9867847562496338"
"37876","neg_interaction","PTTG1_interaction_MOCOS","false","neg_interaction","PTTG1_interaction_MOCOS","-0.9884043252984547"
"37877","pos_interaction","PTTG1_interaction_NDC80","false","pos_interaction","PTTG1_interaction_NDC80","0.9961563713864342"
"37878","pos_interaction","PTTG1_interaction_AURKA","false","pos_interaction","PTTG1_interaction_AURKA","0.9977538439273913"
"37879","pos_interaction","PTTG1_interaction_TPX2","false","pos_interaction","PTTG1_interaction_TPX2","0.999353159332426"
"37880","pos_interaction","PTTG1_interaction_SRPK1","false","pos_interaction","PTTG1_interaction_SRPK1","0.9938897397206475"
"37881","pos_interaction","PTTG1_interaction_SNRNP70","false","pos_interaction","PTTG1_interaction_SNRNP70","0.9567701396167403"
"37882","pos_interaction","PTTG1_interaction_FZR1","false","pos_interaction","PTTG1_interaction_FZR1","0.9684409492828396"
"37883","pos_interaction","PTTG1_interaction_TAF1B","false","pos_interaction","PTTG1_interaction_TAF1B","0.9838354992219022"
"37884","pos_interaction","PTTG1_interaction_CDC20","false","pos_interaction","PTTG1_interaction_CDC20","0.9976079702476555"
"37885","neg_interaction","PTTG1_interaction_LRP1","false","neg_interaction","PTTG1_interaction_LRP1","-0.9996091385145082"
"37886","pos_interaction","PTTG1_interaction_SNRPD2","false","pos_interaction","PTTG1_interaction_SNRPD2","0.9910660248485559"
"37887","pos_interaction","PTTG1_interaction_CDC16","false","pos_interaction","PTTG1_interaction_CDC16","0.9661851802703507"
"37888","pos_interaction","PTTG1_interaction_TOP2A","false","pos_interaction","PTTG1_interaction_TOP2A","0.9999034596161197"
"37889","pos_interaction","PTTG1_interaction_HMGA2","false","pos_interaction","PTTG1_interaction_HMGA2","0.9969738707995067"
"37890","pos_interaction","PTTG1_interaction_HMGB2","false","pos_interaction","PTTG1_interaction_HMGB2","0.9990478028578129"
