A_hierarchical_2 A_hierarchical_3 A_KM_2 B_KM_2 B_KM_3 C_km_2 C_km_3 D_hierarchical_3 D_hierarchical_4 D_km_2 E_hierarchical_2 E_hierarchical_3 E_km_2 F_hierarchical_10 F_km_2 F_km_3
attractor175 2 2 2 2 2 2 1 1 1 1 1 1 2 1 1 1
attractor176 1 1 1 2 2 1 1 1 1 1 2 2 1 1 1 1
attractor177 1 1 2 2 2 2 2 1 1 1 2 2 2 2 1 1
attractor178 1 3 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor179 2 2 1 2 2 1 1 2 2 1 2 2 1 1 1 1
attractor180 1 1 2 1 1 2 1 2 2 2 1 1 2 2 2 3
attractor181 1 1 1 1 3 1 3 2 2 2 1 3 1 2 2 2
attractor182 1 1 1 1 3 1 1 2 3 2 1 1 1 2 2 2
attractor183 1 1 1 1 3 1 1 2 2 2 1 1 1 1 2 2
attractor184 2 2 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor185 1 1 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor186 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor187 2 2 2 1 3 2 2 2 2 2 2 2 2 2 2 3
attractor188 1 3 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor189 1 1 2 2 2 2 2 1 1 1 1 3 2 1 1 1
attractor190 1 1 2 1 3 2 2 2 3 2 1 1 2 2 2 2
attractor191 1 1 1 1 1 1 1 2 2 2 2 2 1 2 2 3
attractor192 2 2 1 1 1 1 3 2 2 2 1 1 1 3 2 3
attractor193 1 1 1 1 3 1 1 2 2 2 1 1 1 3 2 3
attractor194 1 1 2 2 2 2 2 2 2 2 1 1 2 1 1 1
attractor195 1 1 2 2 2 2 1 1 1 1 1 1 2 1 1 1
attractor196 2 2 2 1 1 2 3 2 2 2 2 2 2 3 2 3
attractor197 1 1 1 1 3 1 1 3 4 2 1 1 1 1 2 2
attractor198 1 1 2 2 1 2 2 2 2 2 1 1 2 2 1 3
attractor199 1 1 1 1 3 1 1 2 3 2 2 2 1 2 2 2
attractor200 1 1 1 1 1 1 1 2 2 2 2 2 1 2 2 3
attractor201 1 1 2 2 2 2 3 1 1 1 1 3 2 1 1 1
attractor202 2 2 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor203 1 1 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor204 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor205 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor206 1 1 2 2 2 2 2 2 2 1 1 3 2 1 1 1
attractor207 2 2 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor208 2 2 1 1 1 1 3 2 2 2 2 2 1 2 2 3
attractor209 2 2 1 1 1 1 3 2 2 2 2 2 1 2 2 2
attractor210 1 1 1 1 3 1 3 2 2 2 1 3 1 2 2 2
attractor211 1 1 2 2 2 2 1 1 1 1 1 1 2 1 1 1
attractor212 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor213 1 1 2 2 2 2 1 1 1 1 2 2 2 1 1 1
attractor214 2 2 1 1 1 1 1 2 2 2 1 1 1 8 2 3
attractor215 1 1 1 2 2 1 1 1 1 1 2 2 1 1 1 1
attractor216 2 2 2 1 3 2 3 2 2 2 1 1 2 2 2 2
attractor217 1 3 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor218 2 2 1 2 2 1 3 1 1 1 1 1 1 1 1 1
attractor219 1 1 2 1 3 2 1 2 3 2 2 2 2 2 2 2
attractor220 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor221 1 1 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor222 1 1 1 2 2 1 3 2 2 2 2 2 1 2 2 3
attractor223 1 3 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor224 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor225 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor226 1 1 2 2 2 2 1 1 1 1 1 1 2 1 1 1
attractor227 2 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor228 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor229 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor230 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor231 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 2
attractor232 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor233 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor234 1 1 2 2 2 2 2 1 1 1 1 1 2 2 1 1
attractor235 2 2 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor236 1 1 1 1 1 1 3 2 2 2 2 2 1 2 2 3
attractor237 1 1 1 1 1 1 1 2 2 2 2 2 1 2 2 3
attractor238 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor239 2 2 1 1 3 1 1 2 2 2 1 3 1 2 2 2
attractor240 1 1 2 2 2 2 2 1 1 1 2 2 2 2 1 1
attractor241 1 1 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor242 1 1 2 1 1 2 1 2 2 2 1 1 2 2 2 2
attractor243 1 3 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor244 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor245 1 3 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor246 1 3 2 1 1 2 2 2 2 2 2 2 2 2 2 2
attractor247 2 2 1 2 2 1 3 1 1 1 1 1 1 1 1 1
attractor248 2 2 1 1 1 1 3 2 2 2 1 1 1 2 2 2
attractor249 2 2 2 1 1 2 2 2 2 2 1 1 2 2 2 2
attractor250 1 1 1 2 2 1 3 1 1 1 2 2 1 1 1 1
attractor251 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor252 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor253 1 1 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor254 1 1 2 2 2 2 1 1 1 1 1 3 2 1 1 1
attractor255 1 1 1 1 1 1 3 2 2 2 1 1 1 2 2 3
attractor256 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor257 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor258 1 1 2 2 2 2 2 2 2 2 2 2 2 1 1 1
attractor259 1 3 1 1 1 1 3 2 2 2 1 1 1 5 2 3
attractor260 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor261 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor262 2 2 2 2 2 2 2 1 1 1 1 3 2 1 1 1
attractor263 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor264 2 2 2 2 2 2 3 2 2 2 1 1 2 1 1 1
attractor265 1 1 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor266 1 1 2 1 1 2 3 2 2 2 1 1 2 2 2 3
attractor267 2 2 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor268 1 1 1 1 3 1 3 2 2 2 1 3 1 3 2 2
attractor269 1 1 1 2 2 1 3 1 1 1 1 1 1 1 1 1
attractor270 2 2 1 1 3 1 3 2 2 2 2 2 1 2 2 3
attractor271 2 2 1 1 3 1 3 2 2 2 1 1 1 4 2 2
attractor272 1 3 2 2 2 2 1 2 3 2 2 2 2 1 1 1
attractor273 2 2 1 2 2 1 3 2 2 2 2 2 1 1 2 3
attractor274 2 2 2 1 3 2 3 2 2 2 2 2 2 2 2 2
attractor275 1 3 2 2 2 2 2 1 1 1 1 1 2 2 1 1
attractor276 1 1 1 1 1 1 1 2 2 2 1 1 1 4 2 3
attractor277 1 1 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor278 1 3 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor279 2 2 2 1 1 2 1 2 2 2 1 1 2 2 2 3
