ID	average_intensity
D6RIT2	5010.0
D6RIU2	25.5
D6RIW1	92800.0
D6RIZ4	0.936
D6RIZ9	10.9
D6RJ07	27.1
D6RJ90	13.3
D6RJ98	17.4
D9N155	101.0
D9YZV2	2110.0
D9YZV3	1990.0
D9YZV8	2190.0
E0CX11	13.4
E1P5S2	832.0
E2PU09	119.0
E2QRD5	60.4
E2QRH7	20.1
E2QRL8	86.1
E2QRM3	95.7
E3W994	43.9
E5RFH6	317.0
E5RFJ3	758.0
E5RFK8	16.3
E5RFP6	1140.0
E5RFU0	0.475
E5RFV3	0.248
E5RFV8	60.4
E5RFZ8	0.312
E5RG13	245.0
E5RG17	195.0
E5RG31	172.0
E5RG48	8.12
E5RG67	82.5
E5RG68	886.0
E5RG94	348.0
E5RGA2	613.0
E5RGC7	93.2
E5RGD9	2130.0
E5RGH3	2420.0
E5RGN3	1910.0
E5RGQ4	15.1
E5RGR9	215.0
E5RGS2	2.12
E5RGS9	2.21
E5RGV5	141.0
E5RGX5	681.0
E5RGZ4	10800.0
E5RH42	2620.0
E5RH50	283.0
E5RH53	121.0
E5RH83	27.1
E5RH90	5.41
E5RHA5	2.92
E5RHE1	1160.0
E5RHH1	7790.0
E5RHI2	15.0
E5RHK2	185.0
E5RHK8	62.7
E5RHU1	10.3
E5RI26	1.76
E5RIC7	133.0
E5RIF2	20.2
E5RIM3	170.0
E5RIM7	1710.0
E5RIP7	280.0
E5RIT2	22.4
E5RIT6	5050.0
E5RIU6	354.0
E5RIV7	58.2
E5RIW3	2450.0
E5RIY0	31.2
E5RIZ0	13.1
E5RIZ4	154.0
E5RJ24	565.0
E5RJ52	51.3
E5RJ56	1.89
E5RJ62	2860.0
E5RJ67	4.72
E5RJ68	140.0
E5RJ97	5.8
E5RJA0	1540.0
E5RJN7	25.2
E5RJN9	27.1
E5RJU5	0.333
E5RJU9	517.0
E5RJW4	32.1
E5RJZ1	147.0
E5RK04	182.0
E7EM64	386.0
E7EMA5	30.7
E7EMB7	26.4
E7EMB8	2.28
E7EMC3	6.47
E7EMD0	177.0
E7EMI5	25.0
E7EMK8	322.0
E7EMM4	213.0
E7EMS9	291.0
E7EMZ9	7.37
E7EN19	50.6
E7EN22	2.33
E7EN38	122.0
E7ENA9	57.6
E7END2	7.59
E7ENF1	3.73
E7ENF3	989.0
E7ENF9	325.0
E7ENJ6	224.0
E7ENQ1	53.4
E7ENR4	1110.0
E7ENT5	9.56
E7ENT8	19.9
E7ENV7	112.0
E7ENY2	41.8
E7EP00	231.0
E7EP74	19.3
E7EPB3	5470.0
E7EPD2	227.0
E7EPI0	0.0449
E7EPJ2	1.27
E7EPJ7	37.0
E7EPM0	228.0
E7EPM6	689.0
E7EPN3	221.0
E7EPN9	78.7
E7EPW2	231.0
E7EPY1	3.02
E7EQ06	44.8
E7EQ49	5.6
E7EQD9	686.0
E7EQG2	4890.0
E7EQR6	3180.0
E7EQS9	969.0
E7EQT4	220.0
E7EQV3	2560.0
E7EQY4	19.3
E7EQY8	9.01
E7EQZ7	67.9
E7ER43	183.0
E7ER60	5.39
E7ER74	24.5
E7ERC4	1590.0
E7ERK8	20.6
E7ERK9	170.0
E7ERS3	15.0
E7ERU0	23.9
E7ERX9	5.42
E7ES10	975.0
E7ES19	1.88
E7ES32	100.0
E7ES68	152.0
E7ESD9	139.0
E7ESH4	16300.0
E7ESI2	25.3
E7ESJ6	39.2
E7ESL0	120.0
E7ESM9	849.0
E7ET49	9.47
E7ETA6	22.0
E7ETC0	188.0
E7ETD6	1.37
E7ETJ1	123.0
E7ETJ9	189.0
E7ETM7	1830.0
E7ETS0	4.7
E7ETU3	2500.0
E7ETU6	14.8
E7ETU9	206.0
E7ETY2	318.0
E7ETY7	20.1
E7ETZ4	343.0
E7EU13	13.9
E7EU23	3840.0
E7EU78	146.0
E7EU81	26.1
E7EU96	512.0
E7EUA5	50.0
E7EUA9	8.09
E7EUE1	130.0
E7EUG5	1.45
E7EUH7	47.8
E7EUH9	6.97
E7EUI8	1010.0
E7EUK8	0.894
E7EV10	16.2
E7EV46	3.37
E7EV62	44.0
E7EV84	1.73
E7EVA0	519.0
E7EVA7	1.76
E7EVD9	25.7
E7EVG2	13.0
E7EVG6	1.25
E7EVH3	2.16
E7EVJ5	78.6
E7EVK1	26.1
E7EVM5	56.5
E7EVQ6	111.0
