ID	#Yes sites per 1K	#No sites per 1K	Adj. site FE	Site P-value	Site FDR	Site cutoff	%Yes seq	%No seq	Adj. seq FE	Seq P-value	Seq FDR	Seq cutoff
V$OLIG2_02	0.1171754548257786	0.0362354365517506	1.290416700066353	4.686526472808584E-4	0.0017652077474287194	0.9355644355644356	100.0	98.61751152073732	0.6253343781185136	0.008351526155497769	0.06962635037981367	0.7697302697302697
V$OSX_01	0.45218454017720744	0.25765901996646207	1.0544104929750804	1.3333438802067208E-4	6.724081308375503E-4	0.9094547273636818	100.0	98.15668202764977	0.6281700475279637	0.2909316932631446	0.36157055384656095	0.7408704352176088
V$OSX_02	0.44607393828292086	0.24498726488614428	1.089584195844122	6.382510876660973E-5	3.77567030620361E-4	0.9114557278639319	100.0	98.15668202764977	0.6281700475279637	0.2909316932631446	0.36157055384656095	0.7403701850925463
V$OSX_Q3	1.5168195718654434	0.9322284699615271	1.0905850845305132	1.4525372970690303E-9	5.1556217111212344E-8	0.965034965034965	100.0	94.47004608294931	0.6518166706522568	0.004835279582232605	0.061863053157368016	0.8786213786213786
V$OTP_01	1.0086100861008611	0.5526552961382148	1.1886064649133978	3.007613435934204E-9	9.619405390424726E-8	0.7783891945972986	98.66666666666667	96.7741935483871	0.6276410832583532	0.0027655231672297957	0.05516123833102547	0.6643321660830416
V$OVOL3_01	0.4247460757156048	0.2531796383999047	1.0007766470917159	5.561240565705925E-4	0.002011931717400509	0.7400199600798403	100.0	100.0	0.6169790090731271	0.0018015322347895706	0.05104162540369424	0.5653692614770459
V$P63_01	0.26518655565834104	0.1087063096552518	1.2979895540674646	2.0930898786977455E-5	1.5842783154736397E-4	0.749	100.0	100.0	0.6169790090731271	0.0021103703801704935	0.053494218952914604	0.6135
V$PATZ1_02	1.4025332097621255	0.8456370679456572	1.1060075673407894	2.0767503615904816E-9	6.94756543380356E-8	0.8185	100.0	99.53917050691244	0.6197391984576991	0.009748490148242575	0.0725651677147315	0.6785
V$PATZ1_03	1.622445867642574	1.0182097216893427	1.0721522254788447	1.6972372245190627E-9	5.854865272122952E-8	0.928	100.0	97.6958525345622	0.6310315664078215	0.1205628352039953	0.22223195265115736	0.8335
V$PAX4_05	0.3874538745387454	0.16367099154862516	1.359570079043756	6.031010457037605E-7	9.462671663184879E-6	0.8543543543543544	40.0	20.276497695852534	0.9878160911423334	8.183981424981181E-4	0.04716728304437174	0.8478478478478478
V$PAX5_01	0.16775396085740912	0.07086380834990401	1.125031010389307	9.278817074325105E-4	0.0029274793598724354	0.8445777111444278	100.0	97.6958525345622	0.6310315664078215	0.003150986631924007	0.056673439534842315	0.7496251874062968
V$PAX6_02	0.3932411674347158	0.22510565100129543	1.028209389506769	3.951515943966165E-4	0.0015531245313860262	0.8695652173913043	100.0	99.53917050691244	0.6197391984576991	0.03287473715044966	0.1204303618330821	0.6071964017991005
V$PAX7_01	0.5043050430504306	0.2231877157481252	1.3556644283611705	5.5808052254303004E-8	1.2830607100614754E-6	0.9129564782391195	44.0	23.04147465437788	0.9824495237824812	5.802863108216831E-4	0.044445350201223914	0.9134567283641821
V$PBX4_01	0.4440333024976873	0.25791104839775425	1.0316298444581944	2.470162069737789E-4	0.0010722455934335324	0.7014478282576135	100.0	98.15668202764977	0.6281700475279637	0.027870532372357863	0.11250649718411589	0.6060908637044433
V$PDX1_06	0.31716986886245807	0.13913424768425803	1.269330290235817	1.1468204335908162E-5	9.817120211664913E-5	0.993503248375812	100.0	100.0	0.6169790090731271	0.007554029132901859	0.06703049326619165	0.7151424287856072
V$PIT1_01	0.6150061500615006	0.2975836209975003	1.2781347920350654	5.085634515424427E-8	1.179421454752414E-6	0.7972972972972973	100.0	100.0	0.6169790090731271	0.002346023211606357	0.05437939706490241	0.534034034034034
V$PMX2A_01	0.3379416282642089	0.144407398755548	1.3136105534762001	3.81592158706579E-6	4.2471280226214073E-5	0.8816183816183816	100.0	100.0	0.6169790090731271	0.002731907142039793	0.05516123833102547	0.5684315684315684
V$PMX2B_01	0.5227552275522755	0.250820480555036	1.2628699680159283	3.758031541968987E-7	6.37769726116661E-6	0.8285	49.333333333333336	26.267281105990783	0.9936114676562184	2.5040345473602554E-4	0.044445350201223914	0.829
V$POU3F3_04	0.20202020202020202	0.0867493536115237	1.1707304309860709	3.267028211942549E-4	0.0013477938498736768	0.949050949050949	100.0	99.53917050691244	0.6197391984576991	0.01216522520010014	0.07906282565202373	0.6918081918081919
V$POU4F1_01	0.12879484820607176	0.03603542494244931	1.4478117502963872	1.0010965509396903E-4	5.380778414607514E-4	0.887	100.0	97.6958525345622	0.6310315664078215	0.0029026828222346707	0.05516123833102547	0.6675
