leuk_attr apop_attr Hamming_Distance Percent_accuracy
is_000609 is_035020 0.125 87.5
is_000609 is_035062 0.375 62.5
is_000609 is_035073 0.5 50.0
is_000609 is_035133 0.5 50.0
is_000609 is_035135 0.25 75.0
is_000609 is_035246 0.375 62.5
is_000609 is_035255 0.625 37.5
is_000609 is_035272 0.25 75.0
is_000609 is_035440 0.625 37.5
is_000609 is_035443 0.5 50.0
is_000609 is_035445 0.25 75.0
is_000609 is_035466 0.5 50.0
is_000609 is_035489 0.625 37.5
is_000609 is_035562 0.5 50.0
is_000609 is_035770 0.125 87.5
is_000609 is_035872 0.5 50.0
is_000609 is_035883 0.5 50.0
is_000609 is_036086 0.5 50.0
is_000609 is_036088 0.5 50.0
is_000609 is_036254 0.125 87.5
is_000609 is_036272 0.375 62.5
is_000609 is_036560 0.625 37.5
is_000609 is_036706 0.625 37.5
is_000609 is_036790 0.375 62.5
is_000609 is_036870 0.375 62.5
is_000609 is_036923 0.0 100.0
is_000609 is_036980 0.375 62.5
is_000609 is_037027 0.5 50.0
is_000609 is_037045 0.125 87.5
is_000609 is_037089 0.625 37.5
is_000609 is_037122 0.5 50.0
is_000609 is_037160 0.25 75.0
is_000609 is_037171 0.375 62.5
is_000609 is_037186 0.5 50.0
is_000609 is_037372 0.75 25.0
is_000609 is_037396 0.625 37.5
is_000609 is_037429 0.5 50.0
is_000609 is_037610 0.625 37.5
is_000609 is_037684 0.5 50.0
is_000609 is_037710 0.625 37.5
is_000609 is_037742 0.375 62.5
is_000609 is_037817 0.625 37.5
is_000609 is_037842 0.25 75.0
is_000609 is_037978 0.625 37.5
is_000609 is_038034 0.125 87.5
is_000609 is_038202 0.375 62.5
is_000609 is_038272 0.625 37.5
is_000609 is_038405 0.5 50.0
is_000609 is_038450 0.375 62.5
is_000609 is_038554 0.625 37.5
is_000609 is_038751 0.75 25.0
is_000609 is_038900 0.0 100.0
is_000609 is_038934 0.625 37.5
is_000609 is_039103 0.5 50.0
is_000609 is_039224 0.625 37.5
is_000609 is_039348 0.125 87.5
is_000609 is_039377 0.5 50.0
is_000609 is_039379 0.375 62.5
is_000609 is_039427 0.125 87.5
is_000609 is_039475 0.375 62.5
is_000609 is_039506 0.5 50.0
is_000609 is_039548 0.5 50.0
is_000609 is_039592 0.5 50.0
is_000609 is_039603 0.375 62.5
is_000609 is_039708 0.375 62.5
is_000609 is_039891 0.625 37.5
is_000609 is_039912 0.5 50.0
is_000609 is_039936 0.625 37.5
is_000609 is_039987 0.375 62.5
is_000609 is_040015 0.375 62.5
is_000609 is_040252 0.5 50.0
is_000609 is_040334 0.75 25.0
is_000609 is_040400 0.75 25.0
is_000609 is_040408 0.625 37.5
is_000609 is_040444 0.625 37.5
is_000609 is_040458 0.375 62.5
is_000609 is_040699 0.625 37.5
is_000609 is_040707 0.375 62.5
is_000609 is_040708 0.125 87.5
is_000609 is_040738 0.375 62.5
is_000609 is_040809 0.125 87.5
is_000609 is_040813 0.375 62.5
is_000609 is_040847 0.5 50.0
is_000609 is_040882 0.625 37.5
is_000609 is_040894 0.625 37.5
is_000609 is_041017 0.25 75.0
is_000609 is_041278 0.5 50.0
is_000609 is_041360 0.5 50.0
is_000609 is_041466 0.625 37.5
is_000609 is_041471 0.5 50.0
is_000609 is_041480 0.5 50.0
is_000609 is_041517 0.375 62.5
is_000609 is_041532 0.5 50.0
is_000609 is_041541 0.0 100.0
is_000609 is_041679 0.25 75.0
is_000609 is_041875 0.5 50.0
is_000609 is_041919 0.375 62.5
is_000609 is_042014 0.625 37.5
is_000609 is_042017 0.5 50.0
is_000609 is_042097 0.125 87.5
is_000609 is_042124 0.375 62.5
is_000609 is_042227 0.5 50.0
is_000609 is_042256 0.75 25.0
is_000609 is_042281 0.625 37.5
is_000609 is_042294 0.625 37.5
is_000609 is_042414 0.375 62.5
is_000609 is_042461 0.625 37.5
is_000609 is_042527 0.5 50.0
is_000609 is_042549 0.25 75.0
is_000609 is_042680 0.5 50.0
is_000609 is_042702 0.375 62.5
is_000609 is_042792 0.25 75.0
is_000609 is_042908 0.5 50.0
is_000609 is_042924 0.375 62.5
is_000609 is_043022 0.625 37.5
is_000609 is_043216 0.5 50.0
is_000609 is_043430 0.375 62.5
is_000609 is_043486 0.5 50.0
is_000609 is_043564 0.375 62.5
is_000609 is_043741 0.25 75.0
is_000609 is_043961 0.5 50.0
is_000609 is_044149 0.375 62.5
is_000609 is_044180 0.75 25.0
