Gene_Symbol	MCF10A.mean	MDA_MB-231.mean	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB-231_1	N_MDA_MB-231_2	N_MDA_MB-231_3	N_MDA_MB-231_4
ARHGDIA	12.30559665	12.57539584	11.74179504	12.66414858	12.01950476	12.61068343	12.34070071	12.70148965	12.25819847	12.60604246
ARHGDIB	9.332566245	9.680142143	9.46264526	9.30774738	9.37009921	9.39708099	9.20062938	9.87594294	9.19569766	9.87458835
ARL1	10.70938799	10.55508282	10.36454983	10.87476955	10.39392238	10.91054892	10.54912802	10.57538055	10.57367979	10.60458345
ARL2	9.147725882	10.44520357	9.37982212	9.55452002	9.36591433	9.42467717	10.37754687	9.98465307	10.34978751	10.00756867
ARL3	9.275579922	9.102096363	9.11177773	9.31079649	9.18754614	9.32689273	9.04317816	9.17098239	9.18774548	9.13893287
ARNT	10.79396933	9.474099339	10.60696622	10.43117552	10.65250486	10.47102363	9.87580122	9.69688524	9.86370941	9.61248832
ARNTL	9.644802168	8.392167691	9.29454324	9.4181008	9.38366868	9.4970544	8.83697303	8.53749334	8.83605199	8.39470692
ARRB1	8.706887335	9.229312621	9.06613387	8.39754179	9.04305119	8.32630962	9.43473697	8.58400837	9.40543543	8.52611455
ARRB2	8.288834395	7.764064593	8.41395279	8.01821527	8.22870824	7.90633278	8.1143686	7.52692747	8.09925799	7.52394668
ARSA	8.643415153	6.537359136	8.32014259	8.19240747	8.24837023	8.23309469	7.27670704	6.72092606	7.25248075	6.87436362
ARSB	8.544393849	8.507873441	8.35122631	8.69972933	8.21768611	8.72716026	8.25316487	8.67379964	8.33649041	8.66970456
STS	8.595872564	9.625941031	8.56937927	8.97757351	8.70304899	8.95632225	9.63144609	9.4118086	9.1634225	9.4162883
ARSD	8.722606464	6.997999782	8.53222981	8.11482191	8.53334228	8.16412979	7.70920601	6.64428504	7.76141732	6.81916463
ASAH1	10.26058121	9.428651173	9.89703512	9.98688313	10.30790743	10.05028333	9.85125249	9.25602159	9.92004965	8.99057288
ASL	8.365925787	8.414925362	7.97596973	8.65393533	7.99205817	8.60663874	8.3668081	8.47194569	8.31875602	8.38022565
ASNA1	9.271248676	9.866853631	9.44297069	9.45508219	9.33740485	9.35543102	9.75950998	9.74416582	9.73025808	9.76163682
ASNS	6.994647128	10.88362652	7.78507204	7.79366726	7.53036823	7.72271452	10.76959496	7.95151521	10.75465818	7.7999552
ASPH	12.93563029	11.88551963	12.68906055	12.74819351	12.81931452	12.68179925	12.07293396	12.04324563	12.24818486	12.07654169
ASS1	11.82413521	11.18651673	11.78922976	11.34735672	11.7931761	11.34804338	11.74794583	10.07011151	11.71024541	10.00057888
ZFHX3	9.962285168	8.130906091	9.54007645	9.67023633	9.55571923	9.70715581	8.78554679	8.28374613	8.72725629	8.31599094
ATF1	9.938451662	9.266580759	9.92522174	9.61555119	10.00526892	9.59276166	9.44041005	9.39228988	9.46295545	9.31988112
ATF3	2.391812377	6.576968542	3.98454475	4.12597474	3.89776881	4.18451486	6.20894753	5.35673255	6.12564438	5.47655783
ATF4	12.43054007	11.53373608	12.42315957	12.06027526	12.37261644	11.99535047	12.02674001	11.23153464	12.00683231	11.19179887
ATIC	10.29157036	11.01244338	10.15267999	10.64371257	10.16829126	10.65888959	10.81025733	10.8839198	10.8206277	10.93138452
ATM	10.07041699	9.140867874	9.95175527	9.81445705	10.02676493	9.7367863	9.35638607	9.24476473	9.43668613	9.32319074
RERE	10.233147	9.927573813	10.20886283	10.07548265	10.32628726	10.03078195	10.10160931	9.87519892	10.07445362	9.8784014
ATOX1	8.951119681	8.493740203	8.62657118	9.03686547	8.65025097	9.01586463	8.48976434	8.68282421	8.44983128	8.68902262
ATP1A1	13.3952649	13.38653964	13.50678805	13.27190832	13.49725071	13.2584809	13.44275479	13.33093515	13.45547949	13.30312838
ATP1A2	6.896054207	3.286442696	6.67705333	5.26384628	6.65123166	5.1836759	4.57371781	4.11399841	4.71738857	4.00726038
ATP1B1	12.30797454	11.27871057	11.66498599	12.38724415	11.66384631	12.39585985	11.64105245	11.28888822	11.62506128	11.28770836
ATP1B3	10.36680929	10.03405318	10.25251179	10.30587144	10.26915527	10.33907868	9.81740184	10.28684082	9.88851158	10.29406798
