"","TF","symbol","gene"
"380","V.E47_01","TCF3","SNRPA"
"381","V.E47_01","TCF3","MAPK13"
"382","V.E47_01","TCF3","TGFA"
"383","V.E47_01","TCF3","SELPLG"
"384","V.E47_01","TCF3","FYN"
"385","V.E47_01","TCF3","BGN"
"386","V.E47_01","TCF3","NMT2"
"387","V.E47_01","TCF3","RRM2B"
"388","V.E47_01","TCF3","DNAJB2"
"389","V.E47_01","TCF3","TBL1X"
"390","V.E47_01","TCF3","ROCK1"
"391","V.E47_01","TCF3","PIAS3"
"392","V.E47_01","TCF3","TPX2"
"393","V.E47_01","TCF3","COL13A1"
"394","V.E47_01","TCF3","AURKA"
"395","V.E47_01","TCF3","ARID3A"
"396","V.E47_01","TCF3","PLK1"
"397","V.E47_01","TCF3","ANXA1"
"398","V.E47_01","TCF3","PKIA"
"399","V.E47_01","TCF3","HUWE1"
"400","V.E47_01","TCF3","TPR"
"401","V.E47_01","TCF3","SERPINA1"
"402","V.E47_01","TCF3","BIRC6"
"403","V.E47_01","TCF3","TRIOBP"
"404","V.E47_01","TCF3","CXXC5"
"405","V.E47_01","TCF3","GSN"
"406","V.E47_01","TCF3","SRPK1"
"407","V.E47_01","TCF3","TNK2"
"408","V.E47_01","TCF3","KLHL12"
"409","V.E47_01","TCF3","EVL"
"410","V.E47_01","TCF3","BACE1"
"411","V.E47_01","TCF3","LTBP3"
"412","V.E47_01","TCF3","TOP2A"
"413","V.E47_01","TCF3","ITGB8"
"414","V.E47_01","TCF3","PTPRA"
"415","V.E47_01","TCF3","ATF3"
"416","V.E47_01","TCF3","MAPT"
"417","V.E47_01","TCF3","KAT2A"
"418","V.E47_01","TCF3","BUB1"
"419","V.E47_01","TCF3","LRP1"
"420","V.E47_01","TCF3","CABLES2"
"421","V.E47_01","TCF3","FBLN1"
"422","V.E47_01","TCF3","IGF1R"
"423","V.E47_01","TCF3","SNAP29"
"424","V.E47_01","TCF3","MOCOS"
"425","V.E47_01","TCF3","SMAD4"
"426","V.E47_01","TCF3","IL4R"
"427","V.E47_01","TCF3","TAF12"
"428","V.E47_01","TCF3","TGFB1"
"429","V.E47_01","TCF3","TRIM33"
"430","V.E47_01","TCF3","HMGA2"
"431","V.E47_01","TCF3","CDC20"
"432","V.E47_01","TCF3","NDC80"
"433","V.E47_01","TCF3","CD55"
"434","V.E47_01","TCF3","ADAM9"
"435","V.E47_01","TCF3","RASGRF1"
"436","V.E47_01","TCF3","TAF1B"
"437","V.E47_01","TCF3","TNIK"
"438","V.E47_01","TCF3","RFWD2"
"439","V.E47_01","TCF3","IL7R"
"440","V.E47_01","TCF3","MAD2L2"
"441","V.E47_01","TCF3","HMGB2"
"442","V.E47_01","TCF3","CKAP5"
"443","V.E47_01","TCF3","STX6"
"444","V.E47_02","TCF3","TPR"
"445","V.E47_02","TCF3","RHOD"
"446","V.E47_02","TCF3","PLK1"
"447","V.E47_02","TCF3","LIMK2"
"448","V.E47_02","TCF3","PKIA"
"449","V.E47_02","TCF3","FN1"
"450","V.E47_02","TCF3","ATF3"
"451","V.E47_02","TCF3","ROCK1"
"452","V.E47_02","TCF3","MAPK13"
"453","V.E47_02","TCF3","KLHL12"
"454","V.E47_02","TCF3","TRIM33"
"455","V.E47_02","TCF3","SKIL"
"456","V.E47_02","TCF3","FYN"
"457","V.E47_02","TCF3","PTPRA"
"458","V.E47_02","TCF3","TNK2"
"459","V.E47_02","TCF3","FGF13"
"460","V.E47_02","TCF3","SNAP29"
"461","V.E47_02","TCF3","KAT2A"
"462","V.E47_02","TCF3","BIRC6"
"463","V.E47_02","TCF3","S100A2"
"464","V.E47_02","TCF3","SNRPA"
"465","V.E47_02","TCF3","AURKA"
"466","V.E47_02","TCF3","CD55"
"467","V.E47_02","TCF3","TGFB1"
"468","V.E47_02","TCF3","MOCOS"
"469","V.E47_02","TCF3","EVL"
"470","V.E47_02","TCF3","CKAP5"
"471","V.E47_02","TCF3","CXXC5"
"472","V.E47_02","TCF3","RFWD2"
"473","V.E47_02","TCF3","SERPINA1"
"474","V.E47_02","TCF3","IL7R"
"475","V.E47_02","TCF3","ITGB8"
"476","V.E47_02","TCF3","BUB1"
"477","V.E47_02","TCF3","MAD2L2"
"478","V.E47_02","TCF3","FBLN1"
"479","V.E47_02","TCF3","TGFA"
"480","V.FLI1TCF3_01","TCF3","ARID3A"
"481","V.FLI1TCF3_01","TCF3","TP53"
"482","V.FLI1TCF3_01","TCF3","LIMK2"
"483","V.FLI1TCF3_01","TCF3","PKIA"
"484","V.FLI1TCF3_01","TCF3","FGF13"
"485","V.FLI1TCF3_01","TCF3","KAT2A"
"486","V.FLI1TCF3_01","TCF3","ICAM1"
"487","V.FLI1TCF3_01","TCF3","RRM2B"
"488","V.FLI1TCF3_01","TCF3","BGN"
"489","V.FLI1TCF3_01","TCF3","PAG1"
"490","V.FLI1TCF3_01","TCF3","NMT2"
"491","V.FLI1TCF3_01","TCF3","EGFR"
"492","V.FLI1TCF3_01","TCF3","LTBP3"
"493","V.FLI1TCF3_01","TCF3","TPR"
"494","V.FLI1TCF3_01","TCF3","TNK2"
"495","V.FLI1TCF3_01","TCF3","IGF1R"
"496","V.FLI1TCF3_01","TCF3","MAPT"
"497","V.FLI1TCF3_01","TCF3","MAD2L2"
"498","V.FLI1TCF3_01","TCF3","TBL1X"
"499","V.FLI1TCF3_01","TCF3","SELPLG"
"500","V.FLI1TCF3_01","TCF3","BUB1"
"501","V.FLI1TCF3_01","TCF3","FYN"
"502","V.FLI1TCF3_01","TCF3","LRP1"
"503","V.FLI1TCF3_01","TCF3","HMGA2"
"504","V.FLI1TCF3_01","TCF3","SRPK1"
"505","V.FLI1TCF3_01","TCF3","MOCOS"
"506","V.FLI1TCF3_01","TCF3","SNAP29"
"507","V.FLI1TCF3_01","TCF3","DNAJB2"
"508","V.FLI1TCF3_01","TCF3","MEX3B"
"509","V.FLI1TCF3_01","TCF3","TGFA"
"510","V.FLI1TCF3_01","TCF3","CABLES2"
"511","V.FLI1TCF3_01","TCF3","RASGRF1"
"512","V.FLI1TCF3_01","TCF3","TRIOBP"
"513","V.FLI1TCF3_01","TCF3","BIRC6"
"514","V.FLI1TCF3_01","TCF3","FBLN1"
"515","V.FLI1TCF3_01","TCF3","ROCK1"
"516","V.FLI1TCF3_01","TCF3","SNRPA"
"517","V.FLI1TCF3_01","TCF3","CKAP5"
"518","V.FLI1TCF3_01","TCF3","TAF12"
"519","V.FLI1TCF3_01","TCF3","SMAD4"
"520","V.FLI1TCF3_01","TCF3","ATF3"
"521","V.FLI1TCF3_01","TCF3","SH3YL1"
"522","V.FLI1TCF3_01","TCF3","NDC80"
"523","V.FLI1TCF3_01","TCF3","RFWD2"
"524","V.FLI1TCF3_01","TCF3","HMGB2"
"525","V.FLI1TCF3_01","TCF3","EVL"
"526","V.FLI1TCF3_01","TCF3","FN1"
"527","V.FLI1TCF3_01","TCF3","CXXC5"
"528","V.FLI1TCF3_01","TCF3","CD55"
"529","V.FLI1TCF3_01","TCF3","BACE1"
"530","V.FLI1TCF3_01","TCF3","MAPK13"
"531","V.FOS_02","FOS","S100A2"
"532","V.FOS_02","FOS","TGFA"
"533","V.FOS_02","FOS","TPR"
"534","V.FOS_02","FOS","ICAM1"
"535","V.FOS_02","FOS","SNRPA"
"536","V.FOS_02","FOS","IL7R"
"537","V.FOS_02","FOS","SRPK1"
"538","V.FOS_02","FOS","MAPK13"
"539","V.FOS_02","FOS","LTBP3"
